d100,1)Evil_Items,2)Helpful_Items,3)Mixed_Items,4)Small_Items,5)Potions,6)Holy_Rings,7)Gnome_Items,8)Wild_Items,9)Good_Items,10)Powerful_Items,11)Legendary_Items
1,"Debt Hand: A closed blackened shriveled hand. By speaking the words ""withdraw [x amount] gold"" the hand will open up and pour out gold until it reaches the amount requested. By speaking the words ""deposit [x amount] gold"" the hand opens up and closes until you have deposited the same amount. If you have outstanding debt to pay to the hand after 7 days, you are forever cursed by the hand which cannot be removed by anything short of a Wish spell. Every day once the sun has fully set, an amount of Shadows equal to the outstanding debt (in gold) you have rises out of the ground to kill you.","Alchemist Ring - When the wearer of this ring imbibes a healing potion, they receive an additional 1d6 HP.",A small magical candle that burns without being consumed.,"A pouch of cursed graveyard soil. When the dust is cast into the wind, it blows in the direction of the closest undead creature (within 120 feet).",You grow feathers all over your body.,"You become proficient with all weapons, armor, and shields.",Blunt Arrow - 3 g Bludgeoning damage.,"Essence Extractor - Extract the consciousness of a pacified or willing being to be stored within. The consciousness can be injected into the still warm body of a dead being, giving them a new body to inhabit.","Weapon, +1","Weapon, +2","Weapon, +3"
2,"Breathstealer's Cowl - When pulled over the face, this simple burlap hood silently eliminates all air within a 10-foot sphere. Fires are snuffed, bottles explode, air is literally sucked from the lungs, birds plummet from the sky. By concentrating hard for a few seconds, the wearer can expand the radius to 200 feet. The cowl protects its wearer's body from all effects of the vacuum, though it must be lifted to take a breath.","All or Nothing Coin - On a roll you would normally use a d20, flip a coin instead. Heads is a critical success (NAT20), tails is a critical fail (NAT1). Can be used twice per short rest.",A spool of threat that changes color to the color of any fabric that it is touched to.,"Glass fishbowl. When filled with water, illusory fish appear inside.",You feel your body begin to change! You are turned into a tiny frog for 1d4 days.,You have Proficiency with all Gaming tools.,"Fire Arrows - 9 g Ignited by action or if an open flame is nearby, by free action. Does 1d4 fire damage + ignites objects on DM's choice of DC.","Time Bomb - Time slows down sixty times in a 10m sphere around the blast. Lasts for a minute outside the sphere, or one second inside. One use.","Shield,+ 1",Figurine of wondrous power (roll d8),Amulet of the planes
3,"Pawn of Change - A game piece of almost inspiring ivory white wood. When attuned it grants proficiency to persuasion and deception. This item is cursed. Someone attuned will carry out plot actions related to a major antagonist ( preferably devil or mind control themed ) at the earliest private convenience, without having recollection of such actions.","Antigravity Sphere - A small, fist-sized glass ball filled with a silvery smoke. When the sphere is destroyed, it disables the effect of gravity of everything within a 30ft cube for 30 seconds.",A small gold ring set with a magical stone that dimly glows any color the wearer desires.,"Pair of golden bells. When one bell rings, the other rings as well, as long as they are on the same plane.",You fall in love with the first living thing you see.,Gain proficiency in a Skill you are not already proficient.,"Flare Arrows - 15 g No damage. Upon firing, produces bright light in a 20 foot radius and dim light for another 20 feet. Light lasts 1 minute.",Helpful Bug - A metal replica of a beetle that can perform simple tasks.,Sentinel shield,Bronze griffon,Carpet of flying
4,"The Sword of Clarence Eugene - It's not powerful, or even magic, but if old CE doesn't get it back, hoo-boy will he tear the world apart as he looks for it, cuz it's his good one and he'll 'be damned if he'll pay for another one!'","Arcane Trickster’s Glove - Allows a spellcaster who can use Mage Hand to turn the conjured hand invisible. Also allows the conjured hand to perform stealthy actions, such as pickpocketing, sleight of hand, and other acts of remote legerdemain. For these checks, the caster uses their Arcana score.","A leaf that never wilts. If a creature has the ability to speak, that creature gains the ability to speak Sylvan, and only Sylvan, while they are holding the leaf.","Tiny automaton, that critiques anyone about to make a skill check (i.e. ""There's no way you are going to persuade that guy. He can see through your lies."").","Your skin begins to turn a sickly green, and you gain the ability to breathe underwater for 1d4 hours. You also lose the ability to breathe outside of water for the time limit!",Gain proficiency in a Save you are not already proficient.,Glass Vial Ammunition - 27 g The arrowhead of this ammunition is made of glass. One vial of liquid fills three arrows and does damage as if the liquid was splashed on the target. The ammunition is destroyed after one use.,Plasmic Convertor - Turns a being's blood into a drop of liquid that grants single use of one special property the being has. 2-in-6 chance of converting an undesirable effect instead.,Amulet of proof against detection and location,Ebony fly,Crystal ball (very rare version)
5,"The Hat of Pain : A seemingly harmless black leather hat that has been made from the shreds of various black-skinned monsters and is possessed by a demon. When a creature wears it, the hat clings firmly to its head and can only be removed by a Remove Curse or similar spell. Whenever the attuned creature takes damage from any source, it must succeed on a DC 15 Constitution saving throw or take an additional 3d6 psychic damage. Each rest, the creature must make this saving throw or fail to recover from rest.","Arrow of Celebration - An arrow tipped with an enchanted noisemaker. For 30ft around the impact site, creatures are compelled (WIS vs DC 17) to dance madly. Loud music can be heard 100ft from the impact site.",A heart shaped locket that allows the wearer to mentally send a short message (thirteen words) to the person whose name is engraved in the locket. They can immediately respond back with thirteen words. The locket can be used once per day.,A wooden statuette of a cat that purrs softly when pet,You grow gills on your neck. You can breathe underwater for 1d4 hours.,"When you hear a new language spoken for the first time, there is a 50% chance you become proficient in that language (effectly always having known it)",Shuriken - 9 g Finesse 1d6. Thrown (20/60). No melee. Monk weapon.,"Homunculus Gum - Whoever chews this gum bonds with the substance, which will begin to shape into a small gummy version of the chewer. It follows orders but has a bad attitude. Adding further gum will increase its size but decrease its loyalty. If somebody new chews up the homunculus, the bond transfers to them.",Boots of elvenkind,Golden lions,Ring of regeneration
6,"Claiomah Solais - The legendary Fae sword of light. It's a deeply misunderstood blade. It does not emit light, instead it steals it. It creates darkness within 50 feet when unsheathed, and can harm incorporeal creatures.","Arrow of Displacement - An arrow tipped with a shard of quartz crystal. When it is fired, and the arrow strikes something, the archer is teleported to wherever the arrow landed. The quartz tip breaks after 3 uses and must be replaced.",A hat that keeps the wearer magically dry in any rain.,"A coin that changes either either to gold or silver, depending on which face it lands when flipped.",You can only speak in lies for 1d4 days.,"You need 1 hour less sleep (or Trance/Rest) during a Long Rest, and can Rest in Armour with no penalties.","Smoke Arrow - 15 g Does no damage. Upon impact, creates a 5 ft diameter cloud of smoke that persists for 1 min unless dissipated by wind.","Pheromone Pack - One dose each of Attraction, Rage, and Fear pheromones that work on any creature of animal intelligence.",Boots of striding and springing,Ivory goats,Ring of shooting stars
7,"Abyssal Orb - A dark purple and black orb directly linked to Tharizdun the Mad King, the Chained Oblivion. When touched the wearer mutates, gaining a racial ability from the simic hybrid racial abilities (DM's Choice) but also gains a permanent madness.","Arrow of Yondu - Does not require a bow to use. When the user holds this arrow aloft and whistles, the arrow flies through a target enemy, ignoring AC to do 1d6 piercing damage. The user continues to roll a d20+WIS, and for every consecutive roll above 15, the arrow shoots through another target the same way. On a failure, the arrow returns to the user’s hand and cannot be used again until after a long rest.",A tent big enough for two people. Speaking the command word 'paperhome' magically folds the tent into a 4 inch cube. Saying the command word again unfolds the tent. Weighs only 5 lbs.,Bootlaces that tie themselves when commanded to do so,"The content of the potion is a literal soul! If you try to drink it, you must succeed on a DC 13 CON saving throw or your soul will be swapped for 1d10 days.",You have a 20% chance to see through any Illusion.,"Alchemist's Gloves - 40 g Resistance to acid and poison damage, but only against objects being gripped by hand.","Beastmode Formula - A liquid tonic that grant the drinker the properties of a specific animal for one minute. Examples are Eyes of a Hawk, Nose of a Dog, Strength of a Bear etc. Three doses.",Bracers of archery,Marble elephant,Ring of telekinesis
8,"Mace of Tortured Souls: This mace is crafted from various stong bones (femur for the shaft, supporting vertebrae leading up to a stack of small skulls for the mace head). Crafted from 30 different bodies, tortured for 30 days straight, and assembled over 30 nights, this mace is imbued with the essence of pain, in which 1/day its wielder can activate ""Staggering Smite"" at any time, transmitting the pain and suffering into the target with each successful hit, dealing an additional 1d10 damage. Should the target be knocked unconscious, tortured, and sacrificed with the mace, the user regains this ability for the day.","Assassin’s Bracers - This pair of bracers can contain a concealed dagger within each bracer. The wearer can cause the dagger within one, or both, bracers to extend from the bracer. Extending or retracting the daggers requires the use of a Bonus Action from the wearer.","A pair of shoes or boots that never get dirty, nor suffer wear-and-tear.",A charred wooden flute that emits smoke when played.,"Your skin begins to glow, creating a 25ft. aura of light around you.","You gain Darkvision. If you already have Darkvision, extend it's range 30ft.",Athlete's Shoes - 20 g Allows the Tumble action from the DMG.,"Gamma Ray - Fires a green beam (d12). If the target would lose STR, they gain that much STR instead, grow 50% in size, and their physical attacks are Enhanced. If their STR would exceed 21 they explode in green smoke. Any effects wear off when combat dies down. Has 3 charges.",Brooch of shielding,Onyx dog,Robe of scintillating colors
9,"The Cursed Blade of Prophecy - It can be any weapon that does slashing or piercing damage. The etching on the blade have a number, and when you use it on living beings the number either decreases or increases, seemingly at random. Legend/Lore will reveal that scholars argued constantly before it was ""lost"" about whether the sword was cursed, or if the numbers led to a curse. Specifically, agreed that either finally getting the number to 0 would lift the curse or increasing it to the correct threshold would unleash a curse.","Bag of Endless Rats - It looks like a Bag of Holding, but it stinks. All that comes out of it when a character tries to use it are 3d20 rats. If it is turned inside out or damaged, it disgorges 5d100 rats and the bag is destroyed.","An egg sized stone that grows wet, cold, hot, or dry depending on the current weather, but only works outside.",A piece of cloth that can clean the rust off of any metal with one wipe.,You forget how to read for 1d4 days.,"You are Invisible to Undead creatures, and cannot be turned into one.","Buckler - 10 g Plus 1 AC, only one shield can be used at a time. Can be donned or duffed the same as a weapon. Uses martial weapon proficiency rather than shield proficiency.",Amnesia Font - Stored at your house. Any head dunked into the water loses a specific memory as defined by the dunker. Anyone drinking the water absorbs all of the memories lost to the font.,Broom of flying,Serpentine owl,Robe of stars
10,"The Cloak of Lust - A richly fine red cloak with jewels hanging from ends. Gain +2 with Charisma checks. Anyone who wears this cloak has a deeper problem in wanting to flirt and have intimate relations with random people they meet. Every 1d2 person they meet, role a d100, if it is at or greater than 85 they will attempt to romantically pursue that person for 1 hour. If it is at or below 15, they will be completely repulsed by their physical appearance/demeanor and will actively try to avoid them. Otherwise they act like normal.","Band of the Dryad - A simple wooden band that appears to be entwined by evergreen ivy vines. the top is decorated with a small rose petal, which remains bloomed and perfect until the ring's effect is used. Each day at dawn the petal blooms again. This band has a single charge, which recharges each day at dawn. The power contained within the rose petal may be expended to heal a target the wearer can touch by 2d4+2 hit points. Once used, the rose petal wilts and falls off the ring, and this effect may not be used again until the next dawn.",A small herb pot that can be used to cast prestidigitation on up to 1 lb. of food 3/day to flavor the food.,"A pan which does not require grease to cook, and magically seasons food to perfection.",You gain the effects of gaseous form for 1d4 hours.,"You are Invisible to Fey creatures, and they can never learn your name.","Camouflage Cloak - 10 g Comes in 4 options: Green & brown, Brown & tan, White & Grey, or Grey & black. Gives +1 stealth in appropriate landscape.",Wish Spirit - Three measures of liquor that each grant a wish. The wish only lasts as long as the bracing kick of the liquor (d6 turns).,Cloak of elvenkind,Adamantine armor (breastplate),Rod of absorption
